gene_name	human_gene_id	human_protein_ids	OG_N0	pike_gene_id	salmon_gene_id	ratio	interacting_genes
CDK9	ENSG00000136807	P50750	OG6v0015343.20	ENSELUG00000019692	ENSSSAG00000070738	1:1:1	ENSG00000082258,ENSG00000088930,ENSG00000090061,ENSG00000100813,ENSG00000110713,ENSG00000113558,ENSG00000114942,ENSG00000125686,ENSG00000128915,ENSG00000129315,ENSG00000134058,ENSG00000137815,ENSG00000144597,ENSG00000157212,ENSG00000161011,ENSG00000163872,ENSG00000166477,ENSG00000166986,ENSG00000167513,ENSG00000171843,ENSG00000172493,ENSG00000187735,ENSG00000188739,ENSG00000197555,ENSG00000197780,ENSG00000254772
ITGB1	ENSG00000150093	P05556	OG6v0000861.61	ENSELUG00000003788	ENSSSAG00000080301,ENSSSAG00000039442	1:1:2	ENSG00000005884,ENSG00000005961,ENSG00000073712,ENSG00000077943,ENSG00000091409,ENSG00000101311,ENSG00000106803,ENSG00000110900,ENSG00000112769,ENSG00000113140,ENSG00000115232,ENSG00000135424,ENSG00000136068,ENSG00000137076,ENSG00000138448,ENSG00000144668,ENSG00000146648,ENSG00000151490,ENSG00000154721,ENSG00000172270,ENSG00000173402,ENSG00000177697,ENSG00000196396,ENSG00000196924,ENSG00000197467
BUB1B	ENSG00000156970	O60566	OG6v0004175.61	ENSELUG00000016511	ENSSSAG00000047958	1:1:1	ENSG00000011295,ENSG00000032742,ENSG00000089053,ENSG00000094880,ENSG00000117399,ENSG00000117650,ENSG00000122912,ENSG00000130177,ENSG00000136098,ENSG00000137812,ENSG00000143643,ENSG00000143924,ENSG00000144535,ENSG00000145386,ENSG00000154473,ENSG00000164109,ENSG00000164287,ENSG00000166851,ENSG00000167842,ENSG00000169679,ENSG00000170312,ENSG00000171720,ENSG00000177602,ENSG00000185515,ENSG00000213337
CDC16	ENSG00000130177	Q13042	OG6v0007175.28	ENSELUG00000011142	ENSSSAG00000065343,ENSSSAG00000044519	1:1:2	ENSG00000012048,ENSG00000058091,ENSG00000073282,ENSG00000085511,ENSG00000089159,ENSG00000094880,ENSG00000107560,ENSG00000110200,ENSG00000114805,ENSG00000116698,ENSG00000117650,ENSG00000135913,ENSG00000139687,ENSG00000141027,ENSG00000141570,ENSG00000146648,ENSG00000156970,ENSG00000157212,ENSG00000173894,ENSG00000176386,ENSG00000178053,ENSG00000184708,ENSG00000185002,ENSG00000196510,ENSG00000197323
OGT	ENSG00000147162	O15294	OG6v0008368.27	ENSELUG00000004547	ENSSSAG00000063890,ENSSSAG00000061261	1:1:2	ENSG00000056586,ENSG00000067369,ENSG00000071243,ENSG00000080824,ENSG00000100084,ENSG00000100284,ENSG00000101966,ENSG00000108061,ENSG00000111011,ENSG00000114982,ENSG00000118900,ENSG00000136279,ENSG00000141568,ENSG00000153015,ENSG00000163875,ENSG00000163930,ENSG00000168286,ENSG00000168495,ENSG00000171456,ENSG00000173744,ENSG00000178028,ENSG00000185591,ENSG00000187605,ENSG00000187778,ENSG00000254772
UBE2D4	ENSG00000078967	Q9Y2X8	OG6v0000133.237	ENSELUG00000028298	ENSSSAG00000088616,ENSSSAG00000073416	1:1:2	ENSG00000011275,ENSG00000013561,ENSG00000063978,ENSG00000072609,ENSG00000075975,ENSG00000082996,ENSG00000091073,ENSG00000108523,ENSG00000113269,ENSG00000113558,ENSG00000135144,ENSG00000138942,ENSG00000141622,ENSG00000159461,ENSG00000167770,ENSG00000168894,ENSG00000172354,ENSG00000173926,ENSG00000178498,ENSG00000185345,ENSG00000186187,ENSG00000204227,ENSG00000204308,ENSG00000265491
TLN1	ENSG00000137076	Q9Y490	OG6v0000614.72	ENSELUG00000017099	ENSSSAG00000063331	1:1:1	ENSG00000005961,ENSG00000073712,ENSG00000077420,ENSG00000079308,ENSG00000082781,ENSG00000089159,ENSG00000095637,ENSG00000120896,ENSG00000135424,ENSG00000136068,ENSG00000140575,ENSG00000140682,ENSG00000141452,ENSG00000148180,ENSG00000148484,ENSG00000150093,ENSG00000164741,ENSG00000166886,ENSG00000169398,ENSG00000173166,ENSG00000180353,ENSG00000186994,ENSG00000197256,ENSG00000259207
SIN3A	ENSG00000169375	Q96ST3	OG6v0003316.43	ENSELUG00000023525	ENSSSAG00000044150	1:1:1	ENSG00000004487,ENSG00000070444,ENSG00000071243,ENSG00000100281,ENSG00000100916,ENSG00000102054,ENSG00000105856,ENSG00000106290,ENSG00000109118,ENSG00000111707,ENSG00000112511,ENSG00000118482,ENSG00000133895,ENSG00000134899,ENSG00000138433,ENSG00000141027,ENSG00000141568,ENSG00000146414,ENSG00000147099,ENSG00000163110,ENSG00000164576,ENSG00000174744,ENSG00000185591,ENSG00000196591
ERCC5	ENSG00000134899	P28715	OG6v0009739.26	ENSELUG00000001486	ENSSSAG00000099347	1:1:1	ENSG00000004487,ENSG00000042088,ENSG00000049239,ENSG00000079246,ENSG00000095002,ENSG00000100479,ENSG00000102174,ENSG00000108406,ENSG00000115904,ENSG00000131944,ENSG00000136319,ENSG00000142606,ENSG00000147400,ENSG00000157184,ENSG00000157426,ENSG00000166896,ENSG00000169375,ENSG00000170950,ENSG00000172269,ENSG00000175595,ENSG00000187735,ENSG00000213780,ENSG00000225830,ENSG00000254087
CTR9	ENSG00000198730	Q6PD62	OG6v0006565.28	ENSELUG00000015852	ENSSSAG00000072773,ENSSSAG00000068129	1:1:2	ENSG00000006712,ENSG00000047410,ENSG00000072364,ENSG00000128915,ENSG00000134371,ENSG00000135241,ENSG00000137815,ENSG00000139842,ENSG00000140395,ENSG00000141568,ENSG00000143614,ENSG00000144597,ENSG00000146648,ENSG00000156802,ENSG00000166477,ENSG00000171843,ENSG00000172493,ENSG00000174469,ENSG00000177700,ENSG00000179262,ENSG00000187735,ENSG00000196235,ENSG00000204356
ACE2	ENSG00000130234	Q9BYF1	OG6v0012567.23	ENSELUG00000011793	ENSSSAG00000122237,ENSSSAG00000067757	1:1:2	ENSG00000047410,ENSG00000056097,ENSG00000065978,ENSG00000070159,ENSG00000072274,ENSG00000086015,ENSG00000099250,ENSG00000106554,ENSG00000107164,ENSG00000110075,ENSG00000113758,ENSG00000118689,ENSG00000124789,ENSG00000126261,ENSG00000134352,ENSG00000135387,ENSG00000135679,ENSG00000154639,ENSG00000159640,ENSG00000163817,ENSG00000177663,ENSG00000179776,ENSG00000277443
SOS1	ENSG00000115904	Q07889	OG6v0005776.29	ENSELUG00000018098	ENSSSAG00000068824,ENSSSAG00000001130	1:1:2	ENSG00000088543,ENSG00000095585,ENSG00000100485,ENSG00000111404,ENSG00000111679,ENSG00000112983,ENSG00000122035,ENSG00000128045,ENSG00000132694,ENSG00000134533,ENSG00000134899,ENSG00000136717,ENSG00000136754,ENSG00000146648,ENSG00000147799,ENSG00000151491,ENSG00000160293,ENSG00000160691,ENSG00000169855,ENSG00000179295,ENSG00000198087,ENSG00000205726
EHMT2	ENSG00000204371	Q96KQ7	OG6v0006551.28	ENSELUG00000005771	ENSSSAG00000074324,ENSSSAG00000074873	1:1:2	ENSG00000034713,ENSG00000081692,ENSG00000088305,ENSG00000099991,ENSG00000105486,ENSG00000109787,ENSG00000116670,ENSG00000118922,ENSG00000119772,ENSG00000122565,ENSG00000145386,ENSG00000160973,ENSG00000163132,ENSG00000163497,ENSG00000164045,ENSG00000164736,ENSG00000164758,ENSG00000167034,ENSG00000169016,ENSG00000172977,ENSG00000181449,ENSG00000276043
CEP135	ENSG00000174799	Q66GS9	OG6v0013212.22	ENSELUG00000004169	ENSSSAG00000042894	1:1:1	ENSG00000046651,ENSG00000051825,ENSG00000083535,ENSG00000100503,ENSG00000103540,ENSG00000103995,ENSG00000111860,ENSG00000112877,ENSG00000116213,ENSG00000120647,ENSG00000126001,ENSG00000132122,ENSG00000151575,ENSG00000151849,ENSG00000156876,ENSG00000165689,ENSG00000166004,ENSG00000166813,ENSG00000168014,ENSG00000168944,ENSG00000198707,ENSG00000244607
SMARCA2	ENSG00000080503	P51531	OG6v0000658.70	ENSELUG00000010318	ENSSSAG00000045598	1:1:1	ENSG00000005102,ENSG00000008324,ENSG00000009954,ENSG00000011332,ENSG00000066117,ENSG00000073584,ENSG00000082014,ENSG00000087152,ENSG00000105173,ENSG00000108604,ENSG00000116161,ENSG00000127152,ENSG00000136518,ENSG00000139613,ENSG00000141380,ENSG00000159216,ENSG00000166164,ENSG00000168283,ENSG00000170004,ENSG00000184402,ENSG00000189079
DHX16	ENSG00000204560	O60231	OG6v0009737.26	ENSELUG00000015727	ENSSSAG00000058938,ENSSSAG00000054037	1:1:2	ENSG00000039123,ENSG00000060688,ENSG00000068394,ENSG00000096401,ENSG00000100023,ENSG00000100603,ENSG00000101161,ENSG00000101343,ENSG00000105618,ENSG00000120526,ENSG00000126653,ENSG00000131013,ENSG00000131264,ENSG00000137656,ENSG00000146223,ENSG00000146648,ENSG00000153015,ENSG00000163156,ENSG00000168438,ENSG00000169976,ENSG00000186111
BET1	ENSG00000105829	O15155	OG6v0010786.26	ENSELUG00000020163	ENSSSAG00000084047,ENSSSAG00000068998	1:1:2	ENSG00000019582,ENSG00000092108,ENSG00000093183,ENSG00000100568,ENSG00000105369,ENSG00000106636,ENSG00000108433,ENSG00000108587,ENSG00000117533,ENSG00000118640,ENSG00000121542,ENSG00000124098,ENSG00000124333,ENSG00000144583,ENSG00000162236,ENSG00000162300,ENSG00000168818,ENSG00000168899,ENSG00000186439,ENSG00000213593,ENSG00000265808
TOPBP1	ENSG00000163781	Q92547	OG6v0010903.25	ENSELUG00000008446	ENSSSAG00000072409,ENSSSAG00000064979	1:1:2	ENSG00000058056,ENSG00000065328,ENSG00000092853,ENSG00000101003,ENSG00000111602,ENSG00000112130,ENSG00000113456,ENSG00000133101,ENSG00000136111,ENSG00000137337,ENSG00000138376,ENSG00000140534,ENSG00000143452,ENSG00000145386,ENSG00000159147,ENSG00000160957,ENSG00000163507,ENSG00000166851,ENSG00000172943,ENSG00000197299,ENSG00000204410
MAPK1	ENSG00000100030	P28482	OG6v0001884.51	ENSELUG00000011849	ENSSSAG00000121874	1:1:1	ENSG00000071242,ENSG00000072133,ENSG00000079277,ENSG00000089009,ENSG00000089022,ENSG00000100784,ENSG00000110786,ENSG00000120129,ENSG00000120896,ENSG00000125740,ENSG00000133703,ENSG00000138166,ENSG00000139318,ENSG00000143851,ENSG00000153233,ENSG00000162302,ENSG00000164086,ENSG00000166225,ENSG00000169032,ENSG00000177606
MAX	ENSG00000125952	P61244	OG6v0002144.50	ENSELUG00000019933	ENSSSAG00000009670,ENSSSAG00000112055	1:1:2	ENSG00000059728,ENSG00000070444,ENSG00000095002,ENSG00000111049,ENSG00000119950,ENSG00000123307,ENSG00000123933,ENSG00000134323,ENSG00000137193,ENSG00000146618,ENSG00000164600,ENSG00000168874,ENSG00000171532,ENSG00000172238,ENSG00000180535,ENSG00000180828,ENSG00000181965,ENSG00000198911,ENSG00000213347,ENSG00000260428
NUP98	ENSG00000110713	P52948	OG6v0006407.28	ENSELUG00000005701	ENSSSAG00000054292,ENSSSAG00000078114	1:1:2	ENSG00000069248,ENSG00000074266,ENSG00000079337,ENSG00000094914,ENSG00000102900,ENSG00000105401,ENSG00000108559,ENSG00000124789,ENSG00000132182,ENSG00000132507,ENSG00000133895,ENSG00000136243,ENSG00000136807,ENSG00000138750,ENSG00000139496,ENSG00000153207,ENSG00000154781,ENSG00000157020,ENSG00000160294,ENSG00000213024
BMS1	ENSG00000165733	Q14692	OG6v0008325.27	ENSELUG00000001756	ENSSSAG00000056727,ENSSSAG00000059605	1:1:2	ENSG00000011260,ENSG00000065183,ENSG00000067334,ENSG00000086189,ENSG00000087269,ENSG00000088205,ENSG00000111615,ENSG00000115368,ENSG00000120158,ENSG00000124383,ENSG00000124784,ENSG00000129460,ENSG00000132467,ENSG00000136718,ENSG00000143633,ENSG00000177971,ENSG00000179041,ENSG00000183520,ENSG00000189306,ENSG00000227057
MRPL58	ENSG00000167862	Q14197	OG6v0015584.20	ENSELUG00000022498	ENSSSAG00000065783	1:1:1	ENSG00000061794,ENSG00000074071,ENSG00000108561,ENSG00000108826,ENSG00000112110,ENSG00000130921,ENSG00000132676,ENSG00000137547,ENSG00000137806,ENSG00000147604,ENSG00000156469,ENSG00000165792,ENSG00000169519,ENSG00000171103,ENSG00000173141,ENSG00000179271,ENSG00000182810,ENSG00000185608,ENSG00000204316,ENSG00000242485
MAPK3	ENSG00000102882	P27361	OG6v0001884.73	ENSELUG00000023431	ENSSSAG00000072637,ENSSSAG00000001801	1:1:2	ENSG00000071242,ENSG00000079277,ENSG00000089022,ENSG00000100784,ENSG00000110786,ENSG00000120129,ENSG00000120896,ENSG00000125740,ENSG00000138166,ENSG00000139318,ENSG00000143851,ENSG00000153233,ENSG00000162302,ENSG00000164086,ENSG00000167985,ENSG00000169032,ENSG00000185591,ENSG00000197971,ENSG00000198945
YWHAE	ENSG00000108953	P62258	OG6v0002327.49	ENSELUG00000018168	ENSSSAG00000080079,ENSSSAG00000008422	1:1:2	ENSG00000054523,ENSG00000068615,ENSG00000076826,ENSG00000100425,ENSG00000105613,ENSG00000107863,ENSG00000109756,ENSG00000125970,ENSG00000128245,ENSG00000133703,ENSG00000134909,ENSG00000137693,ENSG00000139926,ENSG00000141577,ENSG00000144681,ENSG00000148498,ENSG00000151718,ENSG00000152518,ENSG00000155974
CRNKL1	ENSG00000101343	Q9BZJ0	OG6v0006953.28	ENSELUG00000015424	ENSSSAG00000076271,ENSSSAG00000070218	1:1:2	ENSG00000076924,ENSG00000082068,ENSG00000096401,ENSG00000100023,ENSG00000100603,ENSG00000105058,ENSG00000105298,ENSG00000108349,ENSG00000117614,ENSG00000127993,ENSG00000134748,ENSG00000143294,ENSG00000143751,ENSG00000150316,ENSG00000163156,ENSG00000164609,ENSG00000171566,ENSG00000172775,ENSG00000204560
RMDN3	ENSG00000137824	Q96TC7	OG6v0013441.22	ENSELUG00000000133	ENSSSAG00000002957	1:1:1	ENSG00000038358,ENSG00000043514,ENSG00000078142,ENSG00000100209,ENSG00000101558,ENSG00000105701,ENSG00000110811,ENSG00000115841,ENSG00000123395,ENSG00000135655,ENSG00000136444,ENSG00000137404,ENSG00000166896,ENSG00000168078,ENSG00000172680,ENSG00000176055,ENSG00000196396,ENSG00000213585,ENSG00000248098
TLR4	ENSG00000136869	O00206	OG6v0015049.21	ENSELUG00000017337	ENSSSAG00000068740	1:1:1	ENSG00000005961,ENSG00000011465,ENSG00000049249,ENSG00000067182,ENSG00000086991,ENSG00000103522,ENSG00000111049,ENSG00000116147,ENSG00000130159,ENSG00000132530,ENSG00000137275,ENSG00000145192,ENSG00000146530,ENSG00000148400,ENSG00000159723,ENSG00000168040,ENSG00000179921,ENSG00000185187,ENSG00000239732
ANAPC5	ENSG00000089053	Q9UJX4	OG6v0015080.20	ENSELUG00000022883	ENSSSAG00000006744	1:1:1	ENSG00000012048,ENSG00000053900,ENSG00000067369,ENSG00000094880,ENSG00000101412,ENSG00000109906,ENSG00000110200,ENSG00000112029,ENSG00000115241,ENSG00000115274,ENSG00000141570,ENSG00000156970,ENSG00000158019,ENSG00000169679,ENSG00000173894,ENSG00000176386,ENSG00000196510,ENSG00000197323,ENSG00000198087
MYO3B	ENSG00000071909	Q8WXR4	OG6v0015811.19	ENSELUG00000021292	ENSSSAG00000081625	1:1:1	ENSG00000082397,ENSG00000095777,ENSG00000096384,ENSG00000101335,ENSG00000101470,ENSG00000105701,ENSG00000114854,ENSG00000129007,ENSG00000138193,ENSG00000143815,ENSG00000147400,ENSG00000151491,ENSG00000165138,ENSG00000168876,ENSG00000168959,ENSG00000175544,ENSG00000177143,ENSG00000187017,ENSG00000197694
VAMP5	ENSG00000168899	O95183	OG6v0008146.28	ENSELUG00000030017	ENSSSAG00000095593,ENSSSAG00000118814	1:1:2	ENSG00000076944,ENSG00000092108,ENSG00000092531,ENSG00000099365,ENSG00000099940,ENSG00000100568,ENSG00000103496,ENSG00000104915,ENSG00000105829,ENSG00000108433,ENSG00000116266,ENSG00000118640,ENSG00000132639,ENSG00000136854,ENSG00000139719,ENSG00000155324,ENSG00000170310,ENSG00000177674
MRPL27	ENSG00000108826	Q9P0M9	OG6v0009543.27	ENSELUG00000025163	ENSSSAG00000066303,ENSSSAG00000000131	1:1:2	ENSG00000014919,ENSG00000062582,ENSG00000084092,ENSG00000112110,ENSG00000119705,ENSG00000122687,ENSG00000125901,ENSG00000143314,ENSG00000167862,ENSG00000169519,ENSG00000170946,ENSG00000172590,ENSG00000175756,ENSG00000181991,ENSG00000182768,ENSG00000183831,ENSG00000197345,ENSG00000204316
SOS2	ENSG00000100485	Q07890	OG6v0010921.25	ENSELUG00000020188	ENSSSAG00000039308,ENSSSAG00000057156	1:1:2	ENSG00000111679,ENSG00000112851,ENSG00000115904,ENSG00000119725,ENSG00000122035,ENSG00000128045,ENSG00000128951,ENSG00000133121,ENSG00000134533,ENSG00000136717,ENSG00000136754,ENSG00000146648,ENSG00000147799,ENSG00000160691,ENSG00000166225,ENSG00000169855,ENSG00000179295,ENSG00000198087
CCNA2	ENSG00000145386	P20248	OG6v0011286.25	ENSELUG00000002896	ENSSSAG00000114868,ENSSSAG00000004077	1:1:2	ENSG00000101412,ENSG00000101457,ENSG00000105810,ENSG00000111276,ENSG00000124762,ENSG00000129518,ENSG00000134323,ENSG00000137090,ENSG00000139687,ENSG00000156970,ENSG00000163781,ENSG00000169679,ENSG00000170312,ENSG00000172167,ENSG00000183072,ENSG00000196510,ENSG00000198826,ENSG00000204371
MRPL34	ENSG00000130312	Q9BQ48	OG6v0011704.25	ENSELUG00000019829	ENSSSAG00000094922	1:1:1	ENSG00000112110,ENSG00000116898,ENSG00000130921,ENSG00000132300,ENSG00000136522,ENSG00000144029,ENSG00000149792,ENSG00000158042,ENSG00000166669,ENSG00000166902,ENSG00000170946,ENSG00000172586,ENSG00000175756,ENSG00000182154,ENSG00000187051,ENSG00000198130,ENSG00000214026,ENSG00000243927
VAMP8	ENSG00000118640	Q9BV40	OG6v0011705.25	ENSELUG00000005553	ENSSSAG00000080123	1:1:1	ENSG00000006042,ENSG00000076944,ENSG00000099365,ENSG00000099940,ENSG00000100568,ENSG00000104915,ENSG00000105829,ENSG00000106636,ENSG00000117533,ENSG00000128245,ENSG00000132639,ENSG00000136854,ENSG00000139719,ENSG00000151458,ENSG00000168899,ENSG00000170310,ENSG00000178950,ENSG00000184056
YAP1	ENSG00000137693	P46937	OG6v0012079.24	ENSELUG00000023678	ENSSSAG00000109620,ENSSSAG00000089669	1:1:2	ENSG00000072415,ENSG00000073614,ENSG00000074964,ENSG00000084754,ENSG00000100644,ENSG00000107186,ENSG00000108953,ENSG00000109756,ENSG00000126368,ENSG00000128245,ENSG00000130338,ENSG00000136518,ENSG00000143621,ENSG00000150457,ENSG00000158987,ENSG00000163110,ENSG00000168036,ENSG00000185515
PRPF6	ENSG00000101161	O94906	OG6v0012536.23	ENSELUG00000001945	ENSSSAG00000025057	1:1:1	ENSG00000087365,ENSG00000096401,ENSG00000099995,ENSG00000101365,ENSG00000102103,ENSG00000104897,ENSG00000105618,ENSG00000112739,ENSG00000129518,ENSG00000129691,ENSG00000136875,ENSG00000153015,ENSG00000163877,ENSG00000168883,ENSG00000170860,ENSG00000174243,ENSG00000175467,ENSG00000204560
BRCA1	ENSG00000012048	P38398	OG6v0013034.25	ENSELUG00000007043	ENSSSAG00000076494	1:1:1	ENSG00000004487,ENSG00000036672,ENSG00000041880,ENSG00000067369,ENSG00000083093,ENSG00000089053,ENSG00000130177,ENSG00000130997,ENSG00000134207,ENSG00000137822,ENSG00000138376,ENSG00000141570,ENSG00000146918,ENSG00000158019,ENSG00000162378,ENSG00000178966,ENSG00000196305,ENSG00000196510
